num_circuit,dataset,average_throughput
2,FFD,11088.0
2,MILQ,11088.0
2,MTMC,7600.0
2,NoTODS,1840.0
3,FFD,12458.666666666666
3,MILQ,14784.0
3,MTMC,12458.666666666666
3,NoTODS,1840.0
4,FFD,11088.0
4,MILQ,9344.0
4,MTMC,9344.0
4,NoTODS,1840.0
5,FFD,9120.0
5,MILQ,5555.2
5,MTMC,11910.4
5,NoTODS,1840.0
6,FFD,8762.666666666666
6,MILQ,1834437.8333333333
6,MTMC,11088.0
6,NoTODS,1840.0
7,FFD,10678.857142857143
7,MILQ,6000940.428571428
7,MTMC,11675.42857142857
7,NoTODS,1840.0
8,FFD,10216.0
8,MILQ,5210.500037375
8,MTMC,10216.0
8,NoTODS,1840.0
9,FFD,10769.777777777777
9,MILQ,5401.0
9,MTMC,10769.777777777777
9,NoTODS,1840.0
10,FFD,7600.0
10,MILQ,13376.383100000001
10,MTMC,9692.8
10,NoTODS,1840.0
11,FFD,10193.454545454546
11,MILQ,5196101.818181818
11,MTMC,8290.90909090909
11,NoTODS,1840.0
12,FFD,9925.333333333334
12,MILQ,8658.666666666666
12,MTMC,9344.0
12,NoTODS,1840.0
13,FFD,9794.461538461539
13,MILQ,1095272.7692307692
13,MTMC,10867.692307692309
13,NoTODS,1840.0
14,FFD,9593.142857142857
14,MILQ,8009.142857142857
14,MTMC,10091.42857142857
14,NoTODS,1840.0
15,FFD,9501.866666666667
15,MILQ,7908.62201
15,MTMC,11362.133333333333
15,NoTODS,1840.0
16,FFD,8908.0
16,MILQ,26560705.0
16,MTMC,9344.0
16,NoTODS,1840.0
17,FFD,10098.823529411764
17,MILQ,151762984.94117647
17,MTMC,9278.117647058823
17,NoTODS,1840.0
18,FFD,9537.777777777777
18,MILQ,4425797898.666667
18,MTMC,9537.777777777777
18,NoTODS,1840.0
19,FFD,10570.105263157895
19,MILQ,151677356.63157895
19,MTMC,9835.78947368421
19,NoTODS,1840.0
20,FFD,10739.2
20,MTMC,10041.6
20,NoTODS,1840.0
