num_circuit,dataset,makespan
2,FFD,22176.0
2,MILQ,22176.0
2,MTMC,15200.0
2,NoTODS,7360.0
3,FFD,37376.0
3,MILQ,44352.0
3,MTMC,37376.0
3,NoTODS,11040.0
4,FFD,44352.0
4,MILQ,37376.0
4,MTMC,37376.0
4,NoTODS,14720.0
5,FFD,45600.0
5,MILQ,27776.0
5,MTMC,59552.0
5,NoTODS,18400.0
6,FFD,52576.0
6,MILQ,11006627.0
6,MTMC,66528.0
6,NoTODS,22080.0
7,FFD,74752.0
7,MILQ,42006583.0
7,MTMC,81728.0
7,NoTODS,25760.0
8,FFD,81728.0
8,MILQ,41684.000299
8,MTMC,81728.0
8,NoTODS,29440.0
9,FFD,96928.0
9,MILQ,48609.0
9,MTMC,96928.0
9,NoTODS,33120.0
10,FFD,76000.0
10,MILQ,133763.831
10,MTMC,96928.0
10,NoTODS,36800.0
11,FFD,112128.0
11,MILQ,57157120.0
11,MTMC,91200.0
11,NoTODS,40480.0
12,FFD,119104.0
12,MILQ,103904.0
12,MTMC,112128.0
12,NoTODS,44160.0
13,FFD,127328.0
13,MILQ,14238546.0
13,MTMC,141280.0
13,NoTODS,47840.0
14,FFD,134304.0
14,MILQ,112128.0
14,MTMC,141280.0
14,NoTODS,51520.0
15,FFD,142528.0
15,MILQ,118629.33015
15,MTMC,170432.0
15,NoTODS,55200.0
16,FFD,142528.0
16,MILQ,424971280.0
16,MTMC,149504.0
16,NoTODS,58880.0
17,FFD,171680.0
17,MILQ,2579970744.0
17,MTMC,157728.0
17,NoTODS,62560.0
18,FFD,171680.0
18,MILQ,79664362176.0
18,MTMC,171680.0
18,NoTODS,66240.0
19,FFD,200832.0
19,MILQ,2881869776.0
19,MTMC,186880.0
19,NoTODS,69920.0
20,FFD,214784.0
20,MTMC,200832.0
20,NoTODS,73600.0
