num_circuit,dataset,average_utilization
2,FFD,1.0
2,MILQ,1.0
2,MTMC,1.0
2,NoTODS,0.7704347826086957
3,FFD,1.0
3,MILQ,1.0
3,MTMC,1.0
3,NoTODS,0.7704347826086957
4,FFD,1.0
4,MILQ,1.0
4,MTMC,1.0
4,NoTODS,0.7704347826086957
5,FFD,1.0
5,MILQ,0.9999772965421251
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,1.0
6,MILQ,0.48894967953683627
6,MTMC,1.0
6,NoTODS,0.7704347826086957
7,FFD,1.0
7,MILQ,0.5547394928635709
7,MTMC,1.0
7,NoTODS,0.7704347826086957
8,FFD,1.0
8,MILQ,0.9986642725986222
8,MTMC,1.0
8,NoTODS,0.7704347826086957
9,FFD,1.0
9,MILQ,0.9865147453522252
9,MTMC,1.0
9,NoTODS,0.7704347826086957
10,FFD,1.0
10,MILQ,0.5214416405488288
10,MTMC,1.0
10,NoTODS,0.7704347826086957
11,FFD,1.0
11,MILQ,0.03251532786981371
11,MTMC,1.0
11,NoTODS,0.7704347826086957
12,FFD,1.0
12,MILQ,1.0
12,MTMC,1.0
12,NoTODS,0.7704347826086957
13,FFD,1.0
13,MILQ,0.005935278268599061
13,MTMC,1.0
13,NoTODS,0.7704347826086957
14,FFD,1.0
14,MILQ,1.0
14,MTMC,1.0
14,NoTODS,0.7704347826086957
15,FFD,1.0
15,MILQ,0.8742672966000373
15,MTMC,1.0
15,NoTODS,0.7704347826086957
16,FFD,1.0
16,MILQ,0.0002525943784891907
16,MTMC,1.0
16,NoTODS,0.7704347826086957
17,FFD,1.0
17,MILQ,4.566643040658366e-05
17,MTMC,1.0
17,NoTODS,0.7704347826086957
18,FFD,1.0
18,MILQ,1.914234204449659e-05
18,MTMC,1.0
18,NoTODS,0.7704347826086957
19,FFD,1.0
19,MILQ,4.7119478041108144e-05
19,MTMC,1.0
19,NoTODS,0.7704347826086957
20,FFD,1.0
20,MTMC,1.0
20,NoTODS,0.7704347826086957
