num_qubits_each_circuit,dataset,makespan
2,FFD,14592.0
2,MILQ,10944.0
2,MTMC,14592.0
2,NoTODS,483.0
3,FFD,38528.0
3,MILQ,38528.000999994
3,MTMC,38528.0
3,NoTODS,9859.0
4,FFD,120352.0
4,MILQ,119104.0
4,MTMC,134304.0
4,NoTODS,21600.0
5,FFD,134304.0
5,MILQ,112128.0
5,MTMC,141280.0
5,NoTODS,51520.0
6,FFD,127648.0
6,MILQ,68480.0
6,MTMC,141440.0
6,NoTODS,105280.0
7,FFD,148896.0
7,MILQ,123393.0
7,MTMC,163776.0
7,NoTODS,129920.0
8,FFD,165856.0
8,MILQ,164608.0
8,MTMC,158880.0
8,NoTODS,154560.0
9,FFD,254656.0
9,MILQ,275584.0
9,MTMC,261632.0
9,NoTODS,254656.0
10,FFD,275584.0
10,MILQ,149835844.0
10,MTMC,247680.0
10,NoTODS,523264.0
