num_qubits_each_circuit,dataset,average_throughput
2,FFD,1042.2857142857142
2,MILQ,781.7142857142857
2,MTMC,1042.2857142857142
2,NoTODS,17.25
3,FFD,2752.0
3,MILQ,2752.0000714281427
3,MTMC,2752.0
3,NoTODS,352.10714285714283
4,FFD,8596.57142857143
4,MILQ,8507.42857142857
4,MTMC,9593.142857142857
4,NoTODS,771.4285714285714
5,FFD,9593.142857142857
5,MILQ,8009.142857142857
5,MTMC,10091.42857142857
5,NoTODS,1840.0
6,FFD,4558.857142857143
6,MILQ,2445.714285714286
6,MTMC,5051.428571428572
6,NoTODS,3760.0
7,FFD,5317.714285714285
7,MILQ,4406.892857142857
7,MTMC,5849.142857142857
7,NoTODS,4640.0
8,FFD,5923.428571428572
8,MILQ,5878.857142857143
8,MTMC,5674.285714285715
8,NoTODS,5520.0
9,FFD,9094.857142857143
9,MILQ,9842.285714285714
9,MTMC,9344.0
9,NoTODS,9094.857142857143
10,FFD,9842.285714285714
10,MILQ,5351280.142857143
10,MTMC,8845.714285714286
10,NoTODS,18688.0
