num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.8
2,MTMC,0.7
2,NoTODS,0.463768115942029
3,FFD,0.6
3,MILQ,0.5999999922135022
3,MTMC,0.6
3,NoTODS,0.8451972816715692
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.7715555555555556
5,FFD,1.0
5,MILQ,1.0
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9998746553020806
6,MILQ,0.9950888573419036
6,MTMC,0.9996653279785811
6,NoTODS,0.6
7,FFD,0.9811869955144541
7,MILQ,0.9414265758539393
7,MTMC,0.9793948381801869
7,NoTODS,0.7172413793103448
8,FFD,0.8812512639793206
8,MILQ,0.886882075743652
8,MTMC,0.8792113468981666
8,NoTODS,0.8
9,FFD,0.9020409800028963
9,MILQ,0.9035146859558983
9,MTMC,0.906113532011509
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.28568168908345737
10,MTMC,1.0
10,NoTODS,1.0
