num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,6555.428571428572
2,MILQ,5366.857142857143
2,MTMC,5961.142857142857
2,NoTODS,158.46428571428572
3,FFD,18688.0
3,MILQ,18688.000499997
3,MTMC,18688.0
3,NoTODS,5048.892857142857
4,FFD,46084.57142857143
4,MILQ,44176.0
4,MTMC,49074.28571428572
4,NoTODS,11148.357142857143
5,FFD,53257.142857142855
5,MILQ,45638.857142857145
5,MTMC,53755.42857142857
5,NoTODS,26544.10714285714
6,FFD,75230.85714285714
6,MILQ,39805.71428571428
6,MTMC,45115.42857142857
6,NoTODS,54480.0
7,FFD,78294.85714285714
7,MILQ,42614.71428571428
7,MTMC,52709.71428571428
7,NoTODS,67680.0
8,FFD,78021.71428571429
8,MILQ,55252.8764542857
8,MTMC,64068.57142857143
8,NoTODS,80000.0
9,FFD,90225.14285714286
9,MILQ,98715.42857142857
9,MTMC,94771.42857142857
9,NoTODS,91204.57142857143
10,FFD,102473.14285714286
10,MILQ,270187.76892857044
10,MTMC,91012.57142857143
10,NoTODS,272221.71428571426
