num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,4022.8571428571427
2,MILQ,3209.1428571428573
2,MTMC,4022.8571428571427
2,NoTODS,105.14285714285714
3,FFD,11154.285714285714
3,MILQ,10587.42857142857
3,MTMC,11154.285714285714
3,NoTODS,2629.5
4,FFD,26514.285714285714
4,MILQ,33510.327706714284
4,MTMC,29504.0
4,NoTODS,5953.0
5,FFD,34642.28571428572
5,MILQ,-5986643.285714285
5,MTMC,33645.71428571428
5,NoTODS,13664.214285714286
6,FFD,28528.0
6,MILQ,23270.85714285714
6,MTMC,26384.0
6,NoTODS,28160.0
7,FFD,33417.142857142855
7,MILQ,33707.18955825
7,MTMC,30267.428571428572
7,NoTODS,35200.0
8,FFD,45682.28571428572
8,MILQ,313851739.14285713
8,MTMC,36278.857142857145
8,NoTODS,41360.0
9,FFD,47606.857142857145
9,MILQ,9465833095.837927
9,MTMC,46102.857142857145
9,NoTODS,50070.857142857145
10,FFD,56246.857142857145
10,MILQ,4672132.466428571
10,MTMC,49270.857142857145
10,NoTODS,133433.14285714287
