num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.001621246337890625
2,MILQ,300.0451407432556
2,MTMC,0.008085250854492188
2,NoTODS,0.4670369625091553
3,FFD,0.005701303482055664
3,MILQ,0.6776604652404785
3,MTMC,0.009066343307495117
3,NoTODS,0.46549344062805176
4,FFD,0.005780935287475586
4,MILQ,0.24321246147155762
4,MTMC,0.006170034408569336
4,NoTODS,0.4637458324432373
5,FFD,0.004415988922119141
5,MILQ,0.17233753204345703
5,MTMC,0.00814056396484375
5,NoTODS,0.45482826232910156
6,FFD,0.007187604904174805
6,MILQ,0.9412987232208252
6,MTMC,0.011404275894165039
6,NoTODS,0.4454691410064697
7,FFD,0.007765531539916992
7,MILQ,0.9871861934661865
7,MTMC,0.012498855590820312
7,NoTODS,0.46204519271850586
8,FFD,0.005856752395629883
8,MILQ,1.0744497776031494
8,MTMC,0.014753341674804688
8,NoTODS,0.4922776222229004
9,FFD,0.008173465728759766
9,MILQ,0.9478178024291992
9,MTMC,0.014961004257202148
9,NoTODS,0.5201723575592041
10,FFD,0.007585048675537109
10,MILQ,1.616396188735962
10,MTMC,0.011529922485351562
10,NoTODS,0.48162269592285156
