num_qubits_each_circuit,dataset,average_throughput
2,FFD,1042.2857142857142
2,MILQ,672.0
2,MTMC,1042.2857142857142
2,NoTODS,22.928571428571427
3,FFD,3145.1428571428573
3,MILQ,2742.8571428571427
3,MTMC,3145.1428571428573
3,NoTODS,402.2857142857143
4,FFD,8685.714285714286
4,MILQ,11677.571498428571
4,MTMC,10678.857142857143
4,NoTODS,784.1428571428571
5,FFD,10678.857142857143
5,MILQ,6000940.428571428
5,MTMC,11675.42857142857
5,NoTODS,1840.0
6,FFD,5837.714285714285
6,MILQ,3801.1428571428573
6,MTMC,5849.142857142857
6,NoTODS,3760.0
7,FFD,6098.285714285715
7,MILQ,14754.830714285714
7,MTMC,6596.571428571428
7,NoTODS,4640.0
8,FFD,7017.142857142857
8,MILQ,34763218.0
8,MTMC,6518.857142857143
8,NoTODS,5520.0
9,FFD,8596.57142857143
9,MILQ,4295180441.142858
9,MTMC,8098.285714285715
9,NoTODS,9593.142857142857
10,FFD,10589.714285714286
10,MILQ,3656963.5
10,MTMC,9094.857142857143
10,NoTODS,18189.714285714286
