num_circuit,num_qubits_each_circuit,dataset,average_fidelity
2,2,FFD,0.829878245496785
2,2,MILQ,0.8222346117384227
2,2,MTMC,0.9247277965458305
2,2,NoTaDS,0.9897638841903855
2,3,FFD,0.8824886071489247
2,3,MILQ,0.8829008707804817
2,3,MTMC,0.8685499374303186
2,3,NoTaDS,0.9753776070515624
2,4,FFD,0.8060040055157169
2,4,MILQ,0.8178599452705257
2,4,MTMC,0.8127911324212185
2,4,NoTaDS,0.9438604632392953
2,5,FFD,0.7842380270239125
2,5,MILQ,0.76291692377084
2,5,MTMC,0.7814302487890553
2,5,NoTaDS,0.9002713114689886
2,6,FFD,0.9333696261458185
2,6,MILQ,0.9200611639744875
2,6,MTMC,0.9197689695430342
2,6,NoTaDS,0.9131866201165376
2,7,FFD,0.8952991412622523
2,7,MILQ,0.8712949337452108
2,7,MTMC,0.8894287254939736
2,7,NoTaDS,0.9057076879820437
2,8,FFD,0.8993700902381838
2,8,MILQ,0.8949359961032793
2,8,MTMC,0.8970956879141557
2,8,NoTaDS,0.8674681365425003
2,9,FFD,0.8653738711425843
2,9,MILQ,0.866028141611149
2,9,MTMC,0.8669554515534666
2,9,NoTaDS,0.855291512609893
2,10,FFD,0.8231109853903439
2,10,MILQ,0.8376626508481102
2,10,MTMC,0.8463916012541134
2,10,NoTaDS,0.8507828392360466
3,2,FFD,0.8559113950388916
3,2,MILQ,0.8568264920391547
3,2,MTMC,0.8531549261893908
3,2,NoTaDS,0.9897277847487763
3,3,FFD,0.8853656676406474
3,3,MILQ,0.8763601038780402
3,3,MTMC,0.8879799520046016
3,3,NoTaDS,0.9779308234663904
3,4,FFD,0.8223027783535265
3,4,MILQ,0.7877781301886033
3,4,MTMC,0.8118173988235458
3,4,NoTaDS,0.9446508964217041
3,5,FFD,0.7653948740272388
3,5,MILQ,0.7683266089035784
3,5,MTMC,0.7770042802807874
3,5,NoTaDS,0.88194656518127
3,6,FFD,0.9189223528165584
3,6,MILQ,0.9145882052856287
3,6,MTMC,0.9227965436705785
3,6,NoTaDS,0.9189148483465228
3,7,FFD,0.8896697199202188
3,7,MILQ,0.891135334616046
3,7,MTMC,0.8956856073011618
3,7,NoTaDS,0.901267285738297
3,8,FFD,0.8997493294278915
3,8,MILQ,0.8979325477608526
3,8,MTMC,0.9013430275485667
3,8,NoTaDS,0.8564424477189014
3,9,FFD,0.8577086354396949
3,9,MILQ,0.8722223092043537
3,9,MTMC,0.8641433874895016
3,9,NoTaDS,0.8590253804619526
3,10,FFD,0.8385374841640149
3,10,MILQ,0.8416088477792232
3,10,MTMC,0.8259157431938668
3,10,NoTaDS,0.8476705007817192
4,2,FFD,0.8276744846757312
4,2,MILQ,0.832982610142365
4,2,MTMC,0.825054377170781
4,2,NoTaDS,0.9891680455614034
4,3,FFD,0.8732526384750381
4,3,MILQ,0.8858056738484718
4,3,MTMC,0.8856507351456836
4,3,NoTaDS,0.9759194368755478
4,4,FFD,0.8039989755151112
4,4,MILQ,0.8225424860620385
4,4,MTMC,0.7947748006079911
4,4,NoTaDS,0.942304531524779
4,5,FFD,0.7741924892148472
4,5,MILQ,0.7903831503822147
4,5,MTMC,0.7756640614393951
4,5,NoTaDS,0.8805279989242996
4,6,FFD,0.9259386508769403
4,6,MILQ,0.9165889416635861
4,6,MTMC,0.9270335583171834
4,6,NoTaDS,0.9232429496721192
4,7,FFD,0.8876175837712338
4,7,MILQ,0.8970295183682536
4,7,MTMC,0.8846322381585645
4,7,NoTaDS,0.9040385617145981
4,8,FFD,0.8949163684001777
4,8,MILQ,0.8999129643554931
4,8,MTMC,0.9004204263949234
4,8,NoTaDS,0.8722390602902073
4,9,FFD,0.8564255513762143
4,9,MILQ,0.8639827903978851
4,9,MTMC,0.8670249162726597
4,9,NoTaDS,0.8526764552441998
4,10,FFD,0.8338596975522066
4,10,MILQ,0.8403559721680031
4,10,MTMC,0.8301982322063154
4,10,NoTaDS,0.8374697940469206
5,2,FFD,0.84850211980587
5,2,MILQ,0.8518921279187026
5,2,MTMC,0.8489106791103914
5,2,NoTaDS,0.9870154034619645
5,3,FFD,0.890191703087832
5,3,MILQ,0.8815916022870337
5,3,MTMC,0.8849559828715868
5,3,NoTaDS,0.9767272479641785
5,4,FFD,0.8211722667468969
5,4,MILQ,0.7875155386566435
5,4,MTMC,0.8014207378036098
5,4,NoTaDS,0.9405122640149456
5,5,FFD,0.7615815244475912
5,5,MILQ,0.7706772435439662
5,5,MTMC,0.7702100602073755
5,5,NoTaDS,0.8766738840919249
5,6,FFD,0.9157876251368264
5,6,MILQ,0.9189701120034116
5,6,MTMC,0.918090234942166
5,6,NoTaDS,0.9174213276285379
5,7,FFD,0.8848268837652495
5,7,MILQ,0.9025890725767228
5,7,MTMC,0.890395876406871
5,7,NoTaDS,0.9055386597170257
5,8,FFD,0.8947667663604058
5,8,MILQ,0.8943043414431313
5,8,MTMC,0.9023453677600269
5,8,NoTaDS,0.8639502639080611
5,9,FFD,0.8574823850486576
5,9,MILQ,0.8540184877315734
5,9,MTMC,0.8556993066868159
5,9,NoTaDS,0.8664452268872266
5,10,FFD,0.8311459763972711
5,10,MILQ,0.845551876424334
5,10,MTMC,0.8373661283700133
5,10,NoTaDS,0.8362331532680665
