num_circuit,num_qubits_each_circuit,dataset,average_throughput
7,9,MILQ,4295180441.142858
7,9,MTMC,8098.285714285715
7,9,NoTaDS,9593.142857142857
7,10,FFD,10589.714285714286
7,10,MILQ,3656963.5
7,10,MTMC,9094.857142857143
7,10,NoTaDS,18189.714285714286
8,2,FFD,912.0
8,2,MILQ,784.0
8,2,MTMC,912.0
8,2,NoTaDS,20.125
8,3,FFD,2752.0
8,3,MILQ,3440.0
8,3,MTMC,2752.0
8,3,NoTaDS,352.1875
8,4,FFD,10216.0
8,4,MILQ,6572.0
8,4,MTMC,8472.0
8,4,NoTaDS,784.125
8,5,FFD,10216.0
8,5,MILQ,5210.500037375
8,5,MTMC,10216.0
8,5,NoTaDS,1840.0
8,6,FFD,4682.0
8,6,MILQ,2574.0
8,6,MTMC,4246.0
8,6,NoTaDS,3760.0
8,7,FFD,5564.0
8,7,MILQ,3360.0
8,7,MTMC,5336.0
8,7,NoTaDS,4640.0
8,8,FFD,6920.0
8,8,MILQ,8040.0
8,8,MTMC,6048.0
8,8,NoTaDS,5520.0
8,9,FFD,9344.0
8,9,MILQ,142269.975
8,9,MTMC,9344.0
8,9,NoTaDS,9780.0
8,10,FFD,9344.0
8,10,MILQ,562437487.5
8,10,MTMC,8908.0
8,10,NoTaDS,18688.0
9,2,FFD,1216.0
9,2,MILQ,1216.0
9,2,MTMC,1216.0
9,2,NoTaDS,17.944444444444443
9,3,FFD,3057.777777777778
9,3,MILQ,2560.0
9,3,MTMC,3057.777777777778
9,3,NoTaDS,391.1111111111111
9,4,FFD,9994.666666666666
9,4,MILQ,7530.666666666667
9,4,MTMC,8444.444444444445
9,4,NoTaDS,784.1111111111111
9,5,FFD,10769.777777777777
9,5,MILQ,5401.0
9,5,MTMC,10769.777777777777
9,5,NoTaDS,1840.0
9,6,FFD,4997.333333333333
9,6,MILQ,413858298.6666667
9,6,MTMC,5006.222222222223
9,6,NoTaDS,3760.0
9,7,FFD,5587.555555555556
9,7,MILQ,4304.0
9,7,MTMC,5200.0
9,7,NoTaDS,4640.0
9,8,FFD,6608.0
9,8,MILQ,582088900.0
9,8,MTMC,5832.888888888889
9,8,NoTaDS,5520.0
9,9,FFD,9537.777777777777
9,9,MILQ,2012445177.7777777
9,9,MTMC,8375.111111111111
9,9,NoTaDS,9150.222222222223
9,10,FFD,10312.888888888889
9,10,MILQ,945282.2222222222
9,10,MTMC,8375.111111111111
9,10,NoTaDS,19075.555555555555
10,2,FFD,1094.4
10,2,MILQ,1094.4
10,2,MTMC,1094.4
10,2,NoTaDS,16.2
10,3,FFD,2752.0
10,3,MILQ,2304.60225839
10,3,MTMC,2752.0
10,3,NoTaDS,352.15
10,4,FFD,9692.8
10,4,MILQ,8299.732057199999
10,4,MTMC,7600.0
10,4,NoTaDS,782.4
10,5,FFD,7600.0
10,5,MILQ,13376.383100000001
10,5,MTMC,9692.8
