num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.005078792572021484
2,MILQ,1.0122008323669434
2,MTMC,0.006245136260986328
2,NoTODS,0.16501331329345703
3,FFD,0.0015463829040527344
3,MILQ,5.937629461288452
3,MTMC,0.0034246444702148438
3,NoTODS,0.21534156799316406
4,FFD,0.0031969547271728516
4,MILQ,4.763926267623901
4,MTMC,0.0034105777740478516
4,NoTODS,0.28600192070007324
5,FFD,0.004595756530761719
5,MILQ,3.0053064823150635
5,MTMC,0.00644993782043457
5,NoTODS,0.23771405220031738
6,FFD,0.003979682922363281
6,MILQ,300.1282374858856
6,MTMC,0.0036814212799072266
6,NoTODS,0.2094438076019287
7,FFD,0.006814002990722656
7,MILQ,300.0243408679962
7,MTMC,0.006399393081665039
7,NoTODS,0.3247649669647217
8,FFD,0.0049283504486083984
8,MILQ,0.16080927848815918
8,MTMC,0.00800466537475586
8,NoTODS,0.21356415748596191
9,FFD,0.006734371185302734
9,MILQ,0.16216778755187988
9,MTMC,0.007292270660400391
9,NoTODS,0.2107851505279541
10,FFD,0.006670713424682617
10,MILQ,0.1425628662109375
10,MTMC,0.0058400630950927734
10,NoTODS,0.2315995693206787
