num_qubits_each_circuit,dataset,average_throughput
2,FFD,1216.0
2,MILQ,1216.0
2,MTMC,1216.0
2,NoTODS,27.0
3,FFD,3669.3333333333335
3,MILQ,3669.3333333333335
3,MTMC,3669.3333333333335
3,NoTODS,469.3333333333333
4,FFD,12458.666666666666
4,MILQ,14784.0
4,MTMC,14784.0
4,NoTODS,784.3333333333334
5,FFD,12458.666666666666
5,MILQ,14784.0
5,MTMC,12458.666666666666
5,NoTODS,1840.0
6,FFD,7392.0
6,MILQ,3696.0
6,MTMC,7392.0
6,NoTODS,3760.0
7,FFD,6229.333333333333
7,MILQ,6837.333333333333
7,MTMC,6229.333333333333
7,NoTODS,4640.0
8,FFD,7146.666666666667
8,MILQ,14730411.666666666
8,MTMC,8309.333333333334
8,NoTODS,5520.0
9,FFD,7600.0
9,MILQ,44243.791666666664
9,MTMC,9925.333333333334
9,NoTODS,8762.666666666666
10,FFD,7600.0
10,MILQ,8762.666666666666
10,MTMC,8762.666666666666
10,NoTODS,17525.333333333332
