num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.6
2,MILQ,0.6
2,MTMC,0.6
2,NoTODS,0.2962962962962963
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.634090909090909
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.7588610284742882
5,FFD,1.0
5,MILQ,1.0
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9953917050691246
6,MILQ,0.9976689976689977
6,MTMC,0.9953917050691246
6,NoTODS,0.6
7,FFD,0.9367741935483871
7,MILQ,0.8784842232398973
7,MTMC,0.9367741935483871
7,NoTODS,0.7172413793103448
8,FFD,0.8681336679434686
8,MILQ,0.00021315529642435333
8,MTMC,0.8717257205175685
8,NoTODS,0.8
9,FFD,0.9043890865954923
9,MILQ,0.6348639238844085
9,MTMC,0.9004843758664937
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.9803055551522935
10,MTMC,1.0
10,NoTODS,1.0
