num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.8588467171293707
2,MILQ,0.8639245167754558
2,MTMC,0.8705709125155702
2,NoTODS,0.9884898547134169
3,FFD,0.8764651898848156
3,MILQ,0.8742157782157176
3,MTMC,0.8643342549420429
3,NoTODS,0.9607983718226704
4,FFD,0.8094322340456263
4,MILQ,0.8075653778294044
4,MTMC,0.8144816567581711
4,NoTODS,0.9544271332943461
5,FFD,0.7864908485619769
5,MILQ,0.7636977123288304
5,MTMC,0.7729326799682655
5,NoTODS,0.8758194531458035
6,FFD,0.9185279147521435
6,MILQ,0.8995771441985805
6,MTMC,0.9072568124703104
6,NoTODS,0.8700136304237174
7,FFD,0.8883729320102435
7,MILQ,0.901908813905588
7,MTMC,0.888478901528309
7,NoTODS,0.8720430960031061
8,FFD,0.8800781205958361
8,MILQ,0.893802656785445
8,MTMC,0.8842004220120699
8,NoTODS,0.8541736319420252
9,FFD,0.8600498711481657
9,MILQ,0.8605695564278057
9,MTMC,0.8633880602538431
9,NoTODS,0.8638192971449072
10,FFD,0.8493764338419422
10,MILQ,0.846421230582921
10,MTMC,0.8493328107228855
10,NoTODS,0.8422392205203474
