num_qubits_each_circuit,dataset,makespan
2,FFD,3648.0
2,MILQ,3648.0
2,MTMC,3648.0
2,NoTODS,162.0
3,FFD,11008.0
3,MILQ,11008.0
3,MTMC,11008.0
3,NoTODS,2816.0
4,FFD,37376.0
4,MILQ,44352.0
4,MTMC,44352.0
4,NoTODS,4706.0
5,FFD,37376.0
5,MILQ,44352.0
5,MTMC,37376.0
5,NoTODS,11040.0
6,FFD,44352.0
6,MILQ,22176.0
6,MTMC,44352.0
6,NoTODS,22560.0
7,FFD,37376.0
7,MILQ,41024.0
7,MTMC,37376.0
7,NoTODS,27840.0
8,FFD,42880.0
8,MILQ,88382470.0
8,MTMC,49856.0
8,NoTODS,33120.0
9,FFD,45600.0
9,MILQ,265462.75
9,MTMC,59552.0
9,NoTODS,52576.0
10,FFD,45600.0
10,MILQ,52576.0
10,MTMC,52576.0
10,NoTODS,105152.0
