num_qubits_each_circuit,dataset,makespan
2,FFD,10944.0
2,MILQ,10944.0
2,MTMC,10944.0
2,NoTODS,481.0
3,FFD,33024.0
3,MILQ,27539.000372000002
3,MTMC,33024.0
3,NoTODS,8451.0
4,FFD,105152.0
4,MILQ,696242790.0
4,MTMC,126080.0
4,NoTODS,18624.0
5,FFD,119104.0
5,MILQ,103904.0
5,MTMC,112128.0
5,NoTODS,44160.0
6,FFD,98496.0
6,MILQ,141609.2018553
6,MTMC,112288.0
6,NoTODS,90240.0
7,FFD,137024.0
7,MILQ,70816.0
7,MTMC,119424.0
7,NoTODS,111360.0
8,FFD,131200.0
8,MILQ,186560.0
8,MTMC,159104.0
8,NoTODS,132480.0
9,FFD,224256.0
9,MILQ,501607.32
9,MTMC,217280.0
9,NoTODS,210304.0
10,FFD,217280.0
10,MILQ,1332239.7
10,MTMC,224256.0
10,NoTODS,420608.0
