num_qubits_each_circuit,dataset,average_throughput
2,FFD,912.0
2,MILQ,912.0
2,MTMC,912.0
2,NoTODS,20.041666666666668
3,FFD,2752.0
3,MILQ,2294.916697666667
3,MTMC,2752.0
3,NoTODS,352.125
4,FFD,8762.666666666666
4,MILQ,58020232.5
4,MTMC,10506.666666666666
4,NoTODS,776.0
5,FFD,9925.333333333334
5,MILQ,8658.666666666666
5,MTMC,9344.0
5,NoTODS,1840.0
6,FFD,4104.0
6,MILQ,5900.3834106375
6,MTMC,4678.666666666667
6,NoTODS,3760.0
7,FFD,5709.333333333333
7,MILQ,2950.6666666666665
7,MTMC,4976.0
7,NoTODS,4640.0
8,FFD,5466.666666666667
8,MILQ,7773.333333333333
8,MTMC,6629.333333333333
8,NoTODS,5520.0
9,FFD,9344.0
9,MILQ,20900.305
9,MTMC,9053.333333333334
9,NoTODS,8762.666666666666
10,FFD,9053.333333333334
10,MILQ,55509.987499999996
10,MTMC,9344.0
10,NoTODS,17525.333333333332
