num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.6833333333333333
2,MTMC,0.8
2,NoTODS,0.3991683991683992
3,FFD,0.6
3,MILQ,0.599574742403911
3,MTMC,0.6
3,NoTODS,0.8451544195953142
4,FFD,0.8
4,MILQ,9.848517110381111e-05
4,MTMC,0.8
4,NoTODS,0.7670103092783506
5,FFD,1.0
5,MILQ,1.0
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9995126705653021
6,MILQ,0.994084008037011
6,MTMC,0.998829953198128
6,NoTODS,0.6
7,FFD,0.9816536699671076
7,MILQ,0.9487522520554019
7,MTMC,0.9805391766035554
7,NoTODS,0.7172413793103448
8,FFD,0.87736937995886
8,MILQ,0.8805067267354151
8,MTMC,0.8861983735424401
8,NoTODS,0.8
9,FFD,0.9078910923507133
9,MILQ,0.8084914827888895
9,MTMC,0.9063856636716862
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.1456040408127886
10,MTMC,1.0
10,NoTODS,1.0
