num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.8328496126798449
2,MILQ,0.8519668564839408
2,MTMC,0.8336284906056916
2,NoTODS,0.9876200614925367
3,FFD,0.8617005280466254
3,MILQ,0.8565823553627703
3,MTMC,0.8629703552160938
3,NoTODS,0.9531498476276897
4,FFD,0.8127968153588784
4,MILQ,0.809664812223307
4,MTMC,0.8069298363469816
4,NoTODS,0.9556803997799093
5,FFD,0.7847657144436174
5,MILQ,0.8031325342761707
5,MTMC,0.789948054064138
5,NoTODS,0.8606943085270147
6,FFD,0.9069433357193863
6,MILQ,0.9096885134359814
6,MTMC,0.9072335045775812
6,NoTODS,0.8711407552902554
7,FFD,0.8767711995505924
7,MILQ,0.8801930320403061
7,MTMC,0.8782050683091518
7,NoTODS,0.8657074912952809
8,FFD,0.8801672872084344
8,MILQ,0.8871236032653402
8,MTMC,0.882516239232278
8,NoTODS,0.8550270927739906
9,FFD,0.8559174896552805
9,MILQ,0.8505164204120048
9,MTMC,0.8529226415478196
9,NoTODS,0.8661051635953511
10,FFD,0.8550745809055192
10,MILQ,0.8319789506962765
10,MTMC,0.8531237181980583
10,NoTODS,0.837473205087376
