num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,5216.0
2,MILQ,4826.666666666667
2,MTMC,5216.0
2,NoTODS,143.625
3,FFD,16352.0
3,MILQ,15859.333601166667
3,MTMC,16352.0
3,NoTODS,4344.916666666667
4,FFD,41632.0
4,MILQ,5463609.5824914975
4,MTMC,45120.0
4,NoTODS,9664.916666666666
5,FFD,49216.0
5,MILQ,41016.0
5,MTMC,45728.0
5,NoTODS,22864.125
6,FFD,57316.0
6,MILQ,40646.50077304166
6,MTMC,38117.333333333336
6,NoTODS,46960.0
7,FFD,67900.0
7,MILQ,46898.666666666664
7,MTMC,45888.0
7,NoTODS,58400.0
8,FFD,63876.0
8,MILQ,67817.33333333333
8,MTMC,61053.333333333336
8,NoTODS,68960.0
9,FFD,84073.33333333333
9,MILQ,70345.98619583335
9,MTMC,79840.0
9,NoTODS,77192.0
10,FFD,81269.33333333333
10,MILQ,216929.65311979165
10,MTMC,83594.66666666667
10,NoTODS,222264.0
