num_circuit,dataset,makespan
2,FFD,44352.0
2,MILQ,44352.0
2,MTMC,30400.0
2,NoTODS,37376.0
3,FFD,45600.0
3,MILQ,265462.75
3,MTMC,59552.0
3,NoTODS,52576.0
4,FFD,81728.0
4,MILQ,103918.99997
4,MTMC,74752.0
4,NoTODS,74752.0
5,FFD,89952.0
5,MILQ,81741.00051
5,MTMC,89952.0
5,NoTODS,82976.0
6,FFD,112128.0
6,MILQ,141280.0
6,MTMC,119104.0
6,NoTODS,112128.0
7,FFD,120352.0
7,MILQ,60132526176.0
7,MTMC,113376.0
7,NoTODS,134304.0
8,FFD,149504.0
8,MILQ,2276319.6
8,MTMC,149504.0
8,NoTODS,156480.0
9,FFD,171680.0
9,MILQ,36224013200.0
9,MTMC,150752.0
9,NoTODS,164704.0
10,FFD,186880.0
10,MILQ,41963915.0
10,MTMC,165952.0
10,NoTODS,179904.0
11,FFD,202080.0
11,MILQ,675744996.0
11,MTMC,223008.0
11,NoTODS,216032.0
12,FFD,224256.0
12,MILQ,501607.32
12,MTMC,217280.0
12,NoTODS,210304.0
13,FFD,246432.0
13,MILQ,210304.0
13,MTMC,253408.0
13,NoTODS,260384.0
14,FFD,254656.0
14,MILQ,275584.0
14,MTMC,261632.0
14,NoTODS,254656.0
15,FFD,283808.0
15,MILQ,268608.0
15,MTMC,304736.0
15,NoTODS,283808.0
16,FFD,312960.0
16,MILQ,666454.51
16,MTMC,299008.0
16,NoTODS,299008.0
17,FFD,342112.0
17,MILQ,247680.0
17,MTMC,300256.0
17,NoTODS,307232.0
18,FFD,336384.0
18,MILQ,366784.0
18,MTMC,343360.0
18,NoTODS,329408.0
19,FFD,344608.0
19,MILQ,307232.0
19,MTMC,330656.0
19,NoTODS,344608.0
20,FFD,352832.0
20,MTMC,401664.0
20,NoTODS,387712.0
