num_circuit,dataset,average_throughput
2,FFD,11088.0
2,MILQ,11088.0
2,MTMC,7600.0
2,NoTODS,9344.0
3,FFD,7600.0
3,MILQ,44243.791666666664
3,MTMC,9925.333333333334
3,NoTODS,8762.666666666666
4,FFD,10216.0
4,MILQ,12989.87499625
4,MTMC,9344.0
4,NoTODS,9344.0
5,FFD,8995.2
5,MILQ,8174.100050999999
5,MTMC,8995.2
5,NoTODS,8297.6
6,FFD,9344.0
6,MILQ,11773.333333333334
6,MTMC,9925.333333333334
6,NoTODS,9344.0
7,FFD,8596.57142857143
7,MILQ,4295180441.142858
7,MTMC,8098.285714285715
7,NoTODS,9593.142857142857
8,FFD,9344.0
8,MILQ,142269.975
8,MTMC,9344.0
8,NoTODS,9780.0
9,FFD,9537.777777777777
9,MILQ,2012445177.7777777
9,MTMC,8375.111111111111
9,NoTODS,9150.222222222223
10,FFD,9344.0
10,MILQ,2098195.75
10,MTMC,8297.6
10,NoTODS,8995.2
11,FFD,9185.454545454546
11,MILQ,30715681.636363637
11,MTMC,10136.727272727272
11,NoTODS,9819.636363636364
12,FFD,9344.0
12,MILQ,20900.305
12,MTMC,9053.333333333334
12,NoTODS,8762.666666666666
13,FFD,9478.153846153846
13,MILQ,8088.615384615385
13,MTMC,9746.461538461539
13,NoTODS,10014.76923076923
14,FFD,9094.857142857143
14,MILQ,9842.285714285714
14,MTMC,9344.0
14,NoTODS,9094.857142857143
15,FFD,9460.266666666666
15,MILQ,8953.6
15,MTMC,10157.866666666667
15,NoTODS,9460.266666666666
16,FFD,9780.0
16,MILQ,20826.7034375
16,MTMC,9344.0
16,NoTODS,9344.0
17,FFD,10062.117647058823
17,MILQ,7284.705882352941
17,MTMC,8831.058823529413
17,NoTODS,9036.235294117647
18,FFD,9344.0
18,MILQ,10188.444444444445
18,MTMC,9537.777777777777
18,NoTODS,9150.222222222223
19,FFD,9068.631578947368
19,MILQ,8085.0526315789475
19,MTMC,8701.473684210527
19,NoTODS,9068.631578947368
20,FFD,8820.8
20,MTMC,10041.6
20,NoTODS,9692.8
