num_circuit,dataset,average_turnaroundTime
2,FFD,21424.0
2,MILQ,21128.0
2,MTMC,15896.0
2,NoTODS,17344.0
3,FFD,21392.0
3,MILQ,24946.916930166666
3,MTMC,27008.0
3,NoTODS,21962.666666666668
4,FFD,34012.0
4,MILQ,44748.5317575
4,MTMC,29208.0
4,NoTODS,29488.0
5,FFD,35753.6
5,MILQ,32463.1662502
5,MTMC,36096.0
5,NoTODS,33292.8
6,FFD,42530.666666666664
6,MILQ,53917.333333333336
6,MTMC,44264.0
6,NoTODS,43376.0
7,FFD,47606.857142857145
7,MILQ,9465833095.837927
7,MTMC,46102.857142857145
7,NoTODS,50070.857142857145
8,FFD,57444.0
8,MILQ,-5725378.706875001
8,MTMC,54524.0
8,NoTODS,56828.0
9,FFD,61724.444444444445
9,MILQ,4232145184.999337
9,MTMC,59128.88888888889
9,NoTODS,61301.333333333336
10,FFD,67939.2
10,MILQ,39893167.55
10,MTMC,62168.0
10,NoTODS,64873.6
11,FFD,77188.36363636363
11,MILQ,457418978.9938343
11,MTMC,81137.45454545454
11,NoTODS,77303.27272727272
12,FFD,84073.33333333333
12,MILQ,70345.98619583335
12,MTMC,79840.0
12,NoTODS,77192.0
13,FFD,90962.46153846153
13,MILQ,78414.76923076923
13,MTMC,92689.23076923077
13,NoTODS,91044.92307692308
14,FFD,90225.14285714286
14,MILQ,98715.42857142857
14,MTMC,94771.42857142857
14,NoTODS,91204.57142857143
15,FFD,103722.66666666667
15,MILQ,98284.8
15,MTMC,104012.8
15,NoTODS,95756.8
16,FFD,110194.0
16,MILQ,123025.45619062494
16,MTMC,105810.0
16,NoTODS,102788.0
17,FFD,118699.29411764706
17,MILQ,93706.35294117648
17,MTMC,108623.05882352941
17,NoTODS,106731.29411764706
18,FFD,121159.11111111111
18,MILQ,132068.44444444444
18,MTMC,120454.22222222222
18,NoTODS,115852.44444444444
19,FFD,124544.84210526316
19,MILQ,108540.63157894737
19,MTMC,118920.42105263157
19,NoTODS,113546.1052631579
20,FFD,122682.4
20,MTMC,137099.2
20,NoTODS,131523.2
