num_circuit,dataset,average_utilization
2,FFD,0.904780361757106
2,MILQ,0.904780361757106
2,MTMC,0.904780361757106
2,NoTODS,0.9
3,FFD,0.9043890865954923
3,MILQ,0.6348639238844085
3,MTMC,0.9004843758664937
3,NoTODS,0.9
4,FFD,0.9090481769489618
4,MILQ,0.8995239328125567
4,MTMC,0.904780361757106
4,NoTODS,0.9
5,FFD,0.903127559613576
5,MILQ,0.8976467236400222
5,MTMC,0.9108828068565499
5,NoTODS,0.9
6,FFD,0.9016696311634986
6,MILQ,0.9093487167735514
6,MTMC,0.904780361757106
6,NoTODS,0.9
7,FFD,0.909715931073243
7,MILQ,2.268520405877195e-06
7,MTMC,0.9073846380059525
7,NoTODS,0.9
8,FFD,0.904780361757106
8,MILQ,0.040711115178522925
8,MTMC,0.9094464576475169
8,NoTODS,0.9
9,FFD,0.9016116366531641
9,MILQ,2.7310944908440943e-06
9,MTMC,0.9042578753643717
9,NoTODS,0.9
10,FFD,0.9029139234009416
10,MILQ,0.0025479581549544272
10,MTMC,0.9089839869017261
10,NoTODS,0.9
11,FFD,0.9091760008705669
11,MILQ,0.00019881673051811346
11,MTMC,0.909901194116939
11,NoTODS,0.9
12,FFD,0.9078910923507133
12,MILQ,0.8084914827888895
12,MTMC,0.9063856636716862
12,NoTODS,0.9
13,FFD,0.9054405450155301
13,MILQ,0.9041038441157283
13,MTMC,0.9011873725677532
13,NoTODS,0.9
14,FFD,0.9020409800028963
14,MILQ,0.9035146859558983
14,MTMC,0.906113532011509
14,NoTODS,0.9
15,FFD,0.9090501769554038
15,MILQ,0.904780361757106
15,MTMC,0.9050948699571503
15,NoTODS,0.9
16,FFD,0.904780361757106
16,MILQ,0.25122999147967356
16,MTMC,0.9071134097023114
16,NoTODS,0.9
17,FFD,0.9040710819973576
17,MILQ,0.9049590577833863
17,MTMC,0.9043807606808766
17,NoTODS,0.9
18,FFD,0.9058172719549751
18,MILQ,0.9057358095079777
18,MTMC,0.902748674897833
18,NoTODS,0.9
19,FFD,0.906389383576301
19,MILQ,0.9035198593401461
19,MTMC,0.9065678567983577
19,NoTODS,0.9
20,FFD,0.9018146443618583
20,MTMC,0.9082539117889734
20,NoTODS,0.9
