num_circuit,dataset,average_responseTime
2,FFD,7240.0
2,MILQ,6944.0
2,MTMC,5200.0
2,NoTODS,5200.0
3,FFD,10794.666666666666
3,MILQ,9986.916930166662
3,MTMC,14085.333333333334
3,NoTODS,10400.0
4,FFD,20700.0
4,MILQ,29364.5317575
4,MTMC,16768.0
4,NoTODS,17344.0
5,FFD,23721.6
5,MILQ,20456.7662502
5,MTMC,24064.0
5,NoTODS,22195.2
6,FFD,30090.666666666668
6,MILQ,39416.0
6,MTMC,31242.666666666668
6,NoTODS,31232.0
7,FFD,35956.57142857143
7,MILQ,9465819781.552214
7,MTMC,34950.857142857145
7,NoTODS,37677.71428571428
8,FFD,45004.0
8,MILQ,-5737892.706875001
8,MTMC,42084.0
8,NoTODS,44248.0
9,FFD,49123.555555555555
9,MILQ,4232132760.1104484
9,MTMC,47690.666666666664
9,NoTODS,49351.11111111111
10,FFD,55499.2
10,MILQ,39881615.55
10,MTMC,50774.4
10,NoTODS,53078.4
11,FFD,64933.818181818184
11,MILQ,457405642.26656157
11,MTMC,67931.63636363637
11,NoTODS,64683.63636363636
12,FFD,71633.33333333333
12,MILQ,56064.652862500014
12,MTMC,67690.66666666667
12,NoTODS,65629.33333333333
13,FFD,78411.07692307692
13,MILQ,66900.92307692308
13,MTMC,79869.53846153847
13,NoTODS,78230.15384615384
14,FFD,78034.28571428571
14,MILQ,85777.14285714286
14,MTMC,82331.42857142857
14,NoTODS,79309.71428571429
15,FFD,91186.13333333333
15,MILQ,86028.8
15,MTMC,90778.66666666667
15,NoTODS,83496.53333333334
16,FFD,97318.0
16,MILQ,111621.45619062494
16,MTMC,93370.0
16,NoTODS,90644.0
17,FFD,105558.58823529411
17,MILQ,82744.4705882353
17,MTMC,96713.41176470589
17,NoTODS,94895.05882352941
18,FFD,108719.11111111111
18,MILQ,119062.22222222222
18,MTMC,107820.44444444444
18,NoTODS,103902.22222222222
19,FFD,112395.78947368421
19,MILQ,97018.1052631579
19,MTMC,107138.52631578948
19,NoTODS,101677.47368421052
20,FFD,110765.6
20,MTMC,123961.6
20,NoTODS,119030.4
