num_circuit,dataset,average_fidelity
2,FFD,0.8642280583925162
2,MILQ,0.8586219700468133
2,MTMC,0.8555859873950512
2,NoTODS,0.8651636427908058
3,FFD,0.8600498711481657
3,MILQ,0.8605695564278057
3,MTMC,0.8633880602538431
3,NoTODS,0.8638192971449072
4,FFD,0.8539504820894164
4,MILQ,0.8483540345479015
4,MTMC,0.8696850240749763
4,NoTODS,0.8725010935954534
5,FFD,0.8615997023845268
5,MILQ,0.8596389757055636
5,MTMC,0.8578924487941588
5,NoTODS,0.8725592764274714
6,FFD,0.8606369119277395
6,MILQ,0.8627980047931408
6,MTMC,0.8640606273470721
6,NoTODS,0.8651425728590832
7,FFD,0.8579576219429085
7,MILQ,0.8542291175859527
7,MTMC,0.8617219230962436
7,NoTODS,0.8708533007214886
8,FFD,0.8582504979638093
8,MILQ,0.8564230649837705
8,MTMC,0.8608220724466039
8,NoTODS,0.8698195969816863
9,FFD,0.860261160334982
9,MILQ,0.8594692664982566
9,MTMC,0.8537900857599916
9,NoTODS,0.8717968406746621
10,FFD,0.855978253623362
10,MILQ,0.8634159820211504
10,MTMC,0.8621946293908187
10,NoTODS,0.868667412908328
11,FFD,0.8642924852782032
11,MILQ,0.8660085756065715
11,MTMC,0.8586251199161129
11,NoTODS,0.8712708799638279
12,FFD,0.8559174896552805
12,MILQ,0.8505164204120048
12,MTMC,0.8529226415478196
12,NoTODS,0.8661051635953511
13,FFD,0.8625161850368452
13,MILQ,0.8540422547464025
13,MTMC,0.8565129718847722
13,NoTODS,0.8694515825226233
14,FFD,0.8584453947093321
14,MILQ,0.8576814040535663
14,MTMC,0.861775808854512
14,NoTODS,0.8673907136544826
15,FFD,0.8622344699264755
15,MILQ,0.8599469331570143
15,MTMC,0.8605752701518257
15,NoTODS,0.8701879666488175
16,FFD,0.8573195256076851
16,MILQ,0.8609511183724039
16,MTMC,0.860999898517907
16,NoTODS,0.8752593659857456
17,FFD,0.8592817368332581
17,MILQ,0.857090587529767
17,MTMC,0.8615226969352556
17,NoTODS,0.8713041294105106
18,FFD,0.8565202727559624
18,MILQ,0.8554405763046987
18,MTMC,0.8581770696612768
18,NoTODS,0.8705754195147734
19,FFD,0.8583078708757225
19,MILQ,0.8581937212198512
19,MTMC,0.8596531545587385
19,NoTODS,0.8724823969162367
20,FFD,0.8625693692194103
20,MTMC,0.8582384700909642
20,NoTODS,0.8676573355660805
