num_qubits_each_circuit,dataset,makespan
2,FFD,14592.0
2,MILQ,14592.0
2,MTMC,14592.0
2,NoTODS,640.0
3,FFD,44032.0
3,MILQ,46080.0
3,MTMC,44032.0
3,NoTODS,11267.0
4,FFD,163456.0
4,MILQ,127328.0
4,MTMC,149504.0
4,NoTODS,24576.0
5,FFD,142528.0
5,MILQ,424971280.0
5,MTMC,149504.0
5,NoTODS,58880.0
6,FFD,149824.0
6,MILQ,105632.000000009
6,MTMC,142848.0
6,NoTODS,120320.0
7,FFD,171072.0
7,MILQ,96320.0
7,MTMC,153472.0
7,NoTODS,148480.0
8,FFD,172608.0
8,MILQ,174080.0
8,MTMC,186560.0
8,NoTODS,176640.0
9,FFD,312960.0
9,MILQ,666454.51
9,MTMC,299008.0
9,NoTODS,299008.0
10,FFD,299008.0
10,MILQ,292032.96188417997
10,MTMC,292032.0
10,NoTODS,584064.0
