num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,6520.0
2,MILQ,6520.0
2,MTMC,6520.0
2,NoTODS,174.6875
3,FFD,21024.0
3,MILQ,22160.0
3,MTMC,21024.0
3,NoTODS,5752.875
4,FFD,58572.0
4,MILQ,47146.0
4,MTMC,53776.0
4,NoTODS,12632.9375
5,FFD,54184.0
5,MILQ,80355589.591125
5,MTMC,56800.0
5,NoTODS,30224.09375
6,FFD,85444.0
6,MILQ,45130.94290046176
6,MTMC,45943.0
6,NoTODS,62000.0
7,FFD,85258.0
7,MILQ,47319.0
7,MTMC,58511.0
7,NoTODS,76960.0
8,FFD,81174.0
8,MILQ,69058.0
8,MTMC,74392.0
8,NoTODS,91040.0
9,FFD,110194.0
9,MILQ,123025.45619062494
9,MTMC,105810.0
9,NoTODS,102788.0
10,FFD,109808.0
10,MILQ,105549.48094209001
10,MTMC,106102.0
10,NoTODS,303556.0
