num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.8
2,MTMC,0.8
2,NoTODS,0.4
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.8452294310819205
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.775
5,FFD,1.0
5,MILQ,0.0002525943784891907
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9988276670574443
6,MILQ,0.9961053574747375
6,MTMC,0.9995519713261649
6,NoTODS,0.6
7,FFD,0.9811108501030983
7,MILQ,0.9524353166213633
7,MTMC,0.9802466979395075
7,NoTODS,0.7172413793103448
8,FFD,0.8766911919089037
8,MILQ,0.8779254958467536
8,MTMC,0.8805067267354151
8,NoTODS,0.8
9,FFD,0.904780361757106
9,MILQ,0.25122999147967356
9,MTMC,0.9071134097023114
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.9999983531239526
10,MTMC,1.0
10,NoTODS,1.0
