num_qubits_each_circuit,dataset,average_throughput
2,FFD,912.0
2,MILQ,912.0
2,MTMC,912.0
2,NoTODS,20.0
3,FFD,2752.0
3,MILQ,2880.0
3,MTMC,2752.0
3,NoTODS,352.09375
4,FFD,10216.0
4,MILQ,7958.0
4,MTMC,9344.0
4,NoTODS,768.0
5,FFD,8908.0
5,MILQ,26560705.0
5,MTMC,9344.0
5,NoTODS,1840.0
6,FFD,4682.0
6,MILQ,3301.000000000281
6,MTMC,4464.0
6,NoTODS,3760.0
7,FFD,5346.0
7,MILQ,3010.0
7,MTMC,4796.0
7,NoTODS,4640.0
8,FFD,5394.0
8,MILQ,5440.0
8,MTMC,5830.0
8,NoTODS,5520.0
9,FFD,9780.0
9,MILQ,20826.7034375
9,MTMC,9344.0
9,NoTODS,9344.0
10,FFD,9344.0
10,MILQ,9126.030058880624
10,MTMC,9126.0
10,NoTODS,18252.0
