num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.007015228271484375
2,MILQ,1.262209177017212
2,MTMC,0.009337902069091797
2,NoTODS,1.054476261138916
3,FFD,0.008823394775390625
3,MILQ,1.204252004623413
3,MTMC,0.013625860214233398
3,NoTODS,1.0460162162780762
4,FFD,0.008607149124145508
4,MILQ,1.0312821865081787
4,MTMC,0.012433052062988281
4,NoTODS,1.0640802383422852
5,FFD,0.008898019790649414
5,MILQ,1.769730806350708
5,MTMC,0.017707109451293945
5,NoTODS,1.0466926097869873
6,FFD,0.018944263458251953
6,MILQ,11.893935441970825
6,MTMC,0.027456283569335938
6,NoTODS,1.102797508239746
7,FFD,0.01977705955505371
7,MILQ,13.959554433822632
7,MTMC,0.03120899200439453
7,NoTODS,1.037771463394165
8,FFD,0.023096323013305664
8,MILQ,12.183571815490723
8,MTMC,0.03994560241699219
8,NoTODS,1.1219520568847656
9,FFD,0.023033618927001953
9,MILQ,38.13507556915283
9,MTMC,0.042799949645996094
9,NoTODS,1.0875763893127441
10,FFD,0.024014949798583984
10,MILQ,349.921573638916
10,MTMC,0.04764437675476074
10,NoTODS,1.1600377559661865
