num_qubits_each_circuit,dataset,average_throughput
2,FFD,1824.0
2,MILQ,1824.0
2,MTMC,1824.0
2,NoTODS,40.25
3,FFD,2752.0
3,MILQ,2752.0
3,MTMC,2752.0
3,NoTODS,352.75
4,FFD,7600.0
4,MILQ,7600.0
4,MTMC,11088.0
4,NoTODS,784.5
5,FFD,11088.0
5,MILQ,11088.0
5,MTMC,7600.0
5,NoTODS,1840.0
6,FFD,3840.0
6,MILQ,5544.0
6,MTMC,5544.0
6,NoTODS,3760.0
7,FFD,6456.0
7,MILQ,4712.0
7,MTMC,5544.0
7,NoTODS,4640.0
8,FFD,5176.0
8,MILQ,5176.0
8,MTMC,5176.0
8,NoTODS,5520.0
9,FFD,11088.0
9,MILQ,11088.0
9,MTMC,7600.0
9,NoTODS,9344.0
10,FFD,9344.0
10,MILQ,7600.0
10,MTMC,9344.0
10,NoTODS,18688.0
