num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.8404382539336119
2,MILQ,0.8445359241749513
2,MTMC,0.9315708936546225
2,NoTODS,0.9887831381087056
3,FFD,0.8665632200766836
3,MILQ,0.8594848893877884
3,MTMC,0.8458756196357534
3,NoTODS,0.9792624979097191
4,FFD,0.8168796317269942
4,MILQ,0.8144320444826023
4,MTMC,0.8200057822064706
4,NoTODS,0.9565894447936716
5,FFD,0.7724556747661735
5,MILQ,0.7956442600151428
5,MTMC,0.7793859242980121
5,NoTODS,0.8854626539161933
6,FFD,0.9242420684171689
6,MILQ,0.9222029473441351
6,MTMC,0.9015765090196567
6,NoTODS,0.8633822441915853
7,FFD,0.8760434774538697
7,MILQ,0.9040738043376957
7,MTMC,0.8800486281332989
7,NoTODS,0.8663289047974807
8,FFD,0.8801241085189168
8,MILQ,0.8777763478297691
8,MTMC,0.8856285892466171
8,NoTODS,0.8540176101941294
9,FFD,0.8642280583925162
9,MILQ,0.8586219700468133
9,MTMC,0.8555859873950512
9,NoTODS,0.8651636427908058
10,FFD,0.8511944085883094
10,MILQ,0.85506011134412
10,MTMC,0.849340037060174
10,NoTODS,0.8362832043469248
