num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.75
2,MILQ,0.76
2,MTMC,0.75
2,NoTODS,0.43153526970954365
3,FFD,0.6
3,MILQ,0.6002092750347429
3,MTMC,0.6
3,NoTODS,0.785064935064935
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.7712149905312469
5,FFD,1.0
5,MILQ,0.005935278268599061
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9992229992229993
6,MILQ,0.9953861766842091
6,MTMC,0.9992199687987519
6,NoTODS,0.6
7,FFD,0.9716738664815388
7,MILQ,0.958596809301198
7,MTMC,0.9719700458428594
7,NoTODS,0.7172413793103448
8,FFD,0.8825621276098603
8,MILQ,0.8784339606290288
8,MTMC,0.8809823710426119
8,NoTODS,0.8
9,FFD,0.9054405450155301
9,MILQ,0.9041038441157283
9,MTMC,0.9011873725677532
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.9999965254855461
10,MTMC,1.0
10,NoTODS,1.0
