num_qubits_each_circuit,dataset,makespan
2,FFD,14592.0
2,MILQ,7840.0
2,MTMC,14592.0
2,NoTODS,482.0
3,FFD,38528.0
3,MILQ,30720.0
3,MTMC,38528.0
3,NoTODS,9856.0
4,FFD,120352.0
4,MILQ,61600.0
4,MTMC,134304.0
4,NoTODS,20066.0
5,FFD,127328.0
5,MILQ,14238546.0
5,MTMC,141280.0
5,NoTODS,47840.0
6,FFD,127328.0
6,MILQ,143173.9093687
6,MTMC,134464.0
6,NoTODS,97760.0
7,FFD,127648.0
7,MILQ,148896.0
7,MTMC,134624.0
7,NoTODS,120640.0
8,FFD,174304.0
8,MILQ,154848.0
8,MTMC,167328.0
8,NoTODS,143520.0
9,FFD,246432.0
9,MILQ,210304.0
9,MTMC,253408.0
9,NoTODS,260384.0
10,FFD,260384.0
10,MILQ,217280.0
10,MTMC,232480.0
10,NoTODS,478912.0
