num_qubits_each_circuit,dataset,makespan
2,FFD,7296.0
2,MILQ,7296.0
2,MTMC,7296.0
2,NoTODS,320.0
3,FFD,16512.0
3,MILQ,15360.0
3,MTMC,16512.0
3,NoTODS,4227.0
4,FFD,59552.0
4,MILQ,44352.0
4,MTMC,59552.0
4,NoTODS,9410.0
5,FFD,52576.0
5,MILQ,11006627.0
5,MTMC,66528.0
5,NoTODS,22080.0
6,FFD,52736.0
6,MILQ,24007484.0
6,MTMC,52736.0
6,NoTODS,45120.0
7,FFD,59872.0
7,MILQ,4180496506784.0
7,MTMC,74752.0
7,NoTODS,55680.0
8,FFD,62112.0
8,MILQ,29806779.0
8,MTMC,69088.0
8,NoTODS,66240.0
9,FFD,112128.0
9,MILQ,141280.0
9,MTMC,119104.0
9,NoTODS,112128.0
10,FFD,119104.0
10,MILQ,126800304.0
10,MTMC,105152.0
10,NoTODS,217280.0
