num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.8
2,MILQ,0.6
2,MTMC,0.6
2,NoTODS,0.3
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.8448545067423705
4,FFD,0.8
4,MILQ,0.8
4,MTMC,0.8
4,NoTODS,0.7590223166843784
5,FFD,1.0
5,MILQ,0.48894967953683627
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9968798751950079
6,MILQ,0.6112174533946612
6,MTMC,0.9987864077669902
6,NoTODS,0.6
7,FFD,0.9806607185353083
7,MILQ,0.09582526665247776
7,MTMC,0.9742556917688265
7,NoTODS,0.7172413793103448
8,FFD,0.8745423735125974
8,MILQ,0.4707226533772399
8,MTMC,0.8799109360089734
8,NoTODS,0.8
9,FFD,0.9016696311634986
9,MILQ,0.9093487167735514
9,MTMC,0.904780361757106
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.17726047846726228
10,MTMC,1.0
10,NoTODS,1.0
