num_qubits_each_circuit,dataset,average_throughput
2,FFD,1216.0
2,MILQ,1216.0
2,MTMC,1216.0
2,NoTODS,26.666666666666668
3,FFD,2752.0
3,MILQ,2560.0
3,MTMC,2752.0
3,NoTODS,352.25
4,FFD,9925.333333333334
4,MILQ,7392.0
4,MTMC,9925.333333333334
4,NoTODS,784.1666666666666
5,FFD,8762.666666666666
5,MILQ,1834437.8333333333
5,MTMC,11088.0
5,NoTODS,1840.0
6,FFD,4394.666666666667
6,MILQ,2000623.6666666667
6,MTMC,4394.666666666667
6,NoTODS,3760.0
7,FFD,4989.333333333333
7,MILQ,348374708898.6667
7,MTMC,6229.333333333333
7,NoTODS,4640.0
8,FFD,5176.0
8,MILQ,2483898.25
8,MTMC,5757.333333333333
8,NoTODS,5520.0
9,FFD,9344.0
9,MILQ,11773.333333333334
9,MTMC,9925.333333333334
9,NoTODS,9344.0
10,FFD,9925.333333333334
10,MILQ,10566692.0
10,MTMC,8762.666666666666
10,NoTODS,18106.666666666668
