num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,4170.666666666667
2,MILQ,3477.3333333333335
2,MTMC,3477.3333333333335
2,NoTODS,95.41666666666667
3,FFD,9344.0
3,MILQ,9152.0
3,MTMC,9344.0
3,NoTODS,2233.0833333333335
4,FFD,24288.0
4,MILQ,20421.333333333332
4,MTMC,26613.333333333332
4,NoTODS,5209.0
5,FFD,24469.333333333332
5,MILQ,-154791.52951725014
5,MTMC,29120.0
5,NoTODS,11824.25
6,FFD,36418.666666666664
6,MILQ,-335335777.47994083
6,MTMC,17237.333333333332
6,NoTODS,24400.0
7,FFD,35738.666666666664
7,MILQ,-522584643122.98944
7,MTMC,21458.666666666668
7,NoTODS,30560.0
8,FFD,32152.0
8,MILQ,22234.5730887497
8,MTMC,30581.333333333332
8,NoTODS,35840.0
9,FFD,42530.666666666664
9,MILQ,53917.333333333336
9,MTMC,44264.0
9,NoTODS,43376.0
10,FFD,45728.0
10,MILQ,10626520.053733332
10,MTMC,42240.0
10,NoTODS,121472.0
