num_circuit,dataset,average_turnaroundTime
2,FFD,20152.0
2,MILQ,10992.0
2,MTMC,8416.0
2,NoTODS,12000.0
3,FFD,14330.666666666666
3,MILQ,20069.333333333332
3,MTMC,12330.666666666666
3,NoTODS,16640.0
4,FFD,24028.0
4,MILQ,32229.24109625
4,MTMC,12576.0
4,NoTODS,21280.0
5,FFD,22838.4
5,MILQ,20834.793719999998
5,MTMC,16448.0
5,NoTODS,25920.0
6,FFD,35738.666666666664
6,MILQ,-522584643122.98944
6,MTMC,21458.666666666668
6,NoTODS,30560.0
7,FFD,33417.142857142855
7,MILQ,33707.18955825
7,MTMC,30267.428571428572
7,NoTODS,35200.0
8,FFD,46400.0
8,MILQ,24286.0
8,MTMC,32066.0
8,NoTODS,39840.0
9,FFD,43432.88888888889
9,MILQ,36787.555555555555
9,MTMC,31683.555555555555
9,NoTODS,44480.0
10,FFD,58148.8
10,MILQ,39670.4
10,MTMC,38416.0
10,NoTODS,49120.0
11,FFD,49799.27272727273
11,MILQ,28600.809802676362
11,MTMC,43447.27272727273
11,NoTODS,53760.0
12,FFD,67900.0
12,MILQ,46898.666666666664
12,MTMC,45888.0
12,NoTODS,58400.0
13,FFD,58145.230769230766
13,MILQ,62477.53846153846
13,MTMC,48329.846153846156
13,NoTODS,63040.0
14,FFD,78294.85714285714
14,MILQ,42614.71428571428
14,MTMC,52709.71428571428
14,NoTODS,67680.0
15,FFD,65888.0
15,MILQ,45225.66984415667
15,MTMC,57783.46666666667
15,NoTODS,72320.0
16,FFD,85258.0
16,MILQ,47319.0
16,MTMC,58511.0
16,NoTODS,76960.0
17,FFD,81591.5294117647
17,MILQ,58009.01004284709
17,MTMC,58415.05882352941
17,NoTODS,81600.0
18,FFD,93423.11111111111
18,MILQ,54467.555555555555
18,MTMC,66890.66666666667
18,NoTODS,86240.0
19,FFD,88110.31578947368
19,MILQ,60386.52631578947
19,MTMC,74197.8947368421
19,NoTODS,90880.0
20,FFD,113167.2
20,MTMC,75363.2
20,NoTODS,95520.0
