num_circuit,dataset,average_throughput
2,FFD,6456.0
2,MILQ,4712.0
2,MTMC,5544.0
2,NoTODS,4640.0
3,FFD,6229.333333333333
3,MILQ,6837.333333333333
3,MTMC,6229.333333333333
3,NoTODS,4640.0
4,FFD,5128.0
4,MILQ,9390.031243875
4,MTMC,4672.0
4,NoTODS,4640.0
5,FFD,5955.2
5,MILQ,5116.3
5,MTMC,5257.6
5,NoTODS,4640.0
6,FFD,4989.333333333333
6,MILQ,348374708898.6667
6,MTMC,6229.333333333333
6,NoTODS,4640.0
7,FFD,6098.285714285715
7,MILQ,14754.830714285714
7,MTMC,6596.571428571428
7,NoTODS,4640.0
8,FFD,5564.0
8,MILQ,3360.0
8,MTMC,5336.0
8,NoTODS,4640.0
9,FFD,5587.555555555556
9,MILQ,4304.0
9,MTMC,5200.0
9,NoTODS,4640.0
10,FFD,5393.6
10,MILQ,2993.6
10,MTMC,6137.6
10,NoTODS,4640.0
11,FFD,5111.272727272727
11,MILQ,3204.3739526072723
11,MTMC,5428.363636363636
11,NoTODS,4640.0
12,FFD,5709.333333333333
12,MILQ,2950.6666666666665
12,MTMC,4976.0
12,NoTODS,4640.0
13,FFD,4909.538461538462
13,MILQ,5726.7692307692305
13,MTMC,5177.846153846154
13,NoTODS,4640.0
14,FFD,5317.714285714285
14,MILQ,4406.892857142857
14,MTMC,5849.142857142857
14,NoTODS,4640.0
15,FFD,4650.666666666667
15,MILQ,3839.0289065966663
15,MTMC,5348.266666666666
15,NoTODS,4640.0
16,FFD,5346.0
16,MILQ,3010.0
16,MTMC,4796.0
16,NoTODS,4640.0
17,FFD,5166.117647058823
17,MILQ,2916.6680672264706
17,MTMC,4550.588235294118
17,NoTODS,4640.0
18,FFD,5081.777777777777
18,MILQ,3520.0
18,MTMC,5301.333333333333
18,NoTODS,4640.0
19,FFD,4934.736842105263
19,MILQ,4956.631578947368
19,MTMC,5669.0526315789475
19,NoTODS,4640.0
20,FFD,5825.6
20,MTMC,5211.2
20,NoTODS,4640.0
