num_circuit,dataset,average_responseTime
2,FFD,11088.0
2,MILQ,4192.0
2,MTMC,392.0
2,NoTODS,7360.0
3,FFD,6186.666666666667
3,MILQ,11578.666666666666
3,MTMC,4186.666666666667
3,NoTODS,12000.0
4,FFD,16356.0
4,MILQ,22193.24109625
4,MTMC,5424.0
4,NoTODS,16640.0
5,FFD,14742.4
5,MILQ,13020.393719999998
5,MTMC,9049.6
5,NoTODS,21280.0
6,FFD,28184.0
6,MILQ,-522584650504.32275
6,MTMC,13314.666666666666
6,NoTODS,25920.0
7,FFD,25193.14285714286
7,MILQ,25037.475272535714
7,MTMC,21545.14285714286
7,NoTODS,30560.0
8,FFD,38292.0
8,MILQ,18888.0
8,MTMC,24218.0
8,NoTODS,35200.0
9,FFD,35525.333333333336
9,MILQ,29584.0
9,MTMC,24163.555555555555
9,NoTODS,39840.0
10,FFD,50198.4
10,MILQ,33571.2
10,MTMC,30112.0
10,NoTODS,44480.0
11,FFD,42410.181818181816
11,MILQ,22170.264348130906
11,MTMC,35741.09090909091
11,NoTODS,49120.0
12,FFD,59646.666666666664
12,MILQ,40686.666666666664
12,MTMC,38389.333333333336
12,NoTODS,53760.0
13,FFD,50846.769230769234
13,MILQ,54402.46153846154
13,MTMC,40763.07692307692
13,NoTODS,58400.0
14,FFD,70424.0
14,MILQ,35468.42857142857
14,MTMC,44586.28571428572
14,NoTODS,63040.0
15,FFD,58888.53333333333
15,MILQ,38464.069844156664
15,MTMC,50086.4
15,NoTODS,67680.0
16,FFD,77368.0
16,MILQ,41047.0
16,MTMC,51187.0
16,NoTODS,72320.0
17,FFD,74000.0
17,MILQ,52065.48063108238
17,MTMC,51439.05882352941
17,NoTODS,76960.0
18,FFD,85790.22222222222
18,MILQ,47903.11111111111
18,MTMC,59255.11111111111
18,NoTODS,81600.0
19,FFD,80785.68421052632
19,MILQ,52751.15789473684
19,MTMC,66138.94736842105
19,NoTODS,86240.0
20,FFD,104797.6
20,MTMC,67620.8
20,NoTODS,90880.0
