num_circuit,dataset,average_fidelity
2,FFD,0.8760434774538697
2,MILQ,0.9040738043376957
2,MTMC,0.8800486281332989
2,NoTODS,0.8663289047974807
3,FFD,0.8883729320102435
3,MILQ,0.901908813905588
3,MTMC,0.888478901528309
3,NoTODS,0.8720430960031061
4,FFD,0.8711900702099499
4,MILQ,0.9139226584804753
4,MTMC,0.8740292180942794
4,NoTODS,0.8694924330289872
5,FFD,0.8850839645276705
5,MILQ,0.8929145375621046
5,MTMC,0.8876402184597034
5,NoTODS,0.8692341832349827
6,FFD,0.8742016575499911
6,MILQ,0.9023891897330742
6,MTMC,0.8776590893092509
6,NoTODS,0.8661609083068811
7,FFD,0.8784115888902099
7,MILQ,0.9055102033472877
7,MTMC,0.8806355091999615
7,NoTODS,0.8666433130781962
8,FFD,0.8720070922619714
8,MILQ,0.8795616204567904
8,MTMC,0.8763676431679566
8,NoTODS,0.8698522116492684
9,FFD,0.8782753953558187
9,MILQ,0.888788884634755
9,MTMC,0.8775709159850263
9,NoTODS,0.8667829288198987
10,FFD,0.8779559306029302
10,MILQ,0.8740378597182471
10,MTMC,0.8784849411001089
10,NoTODS,0.8667698543832473
11,FFD,0.8780436235781822
11,MILQ,0.8838956624959236
11,MTMC,0.8813300967139734
11,NoTODS,0.868423316325943
12,FFD,0.8767711995505924
12,MILQ,0.8801930320403061
12,MTMC,0.8782050683091518
12,NoTODS,0.8657074912952809
13,FFD,0.8815459462798046
13,MILQ,0.8845178852649561
13,MTMC,0.879287428736682
13,NoTODS,0.8696081352159456
14,FFD,0.8735128679685744
14,MILQ,0.8870529698834421
14,MTMC,0.87931817578219
14,NoTODS,0.8687136138202132
15,FFD,0.8747317360298426
15,MILQ,0.885303291677192
15,MTMC,0.8775656600616326
15,NoTODS,0.8677738732763455
16,FFD,0.8745603475607987
16,MILQ,0.8779645125918657
16,MTMC,0.8779231039445492
16,NoTODS,0.8696063620535275
17,FFD,0.8772235966428125
17,MILQ,0.8807415348943058
17,MTMC,0.8787346530617114
17,NoTODS,0.8705281417254336
18,FFD,0.8771140363009586
18,MILQ,0.8850425062766978
18,MTMC,0.8755254859270646
18,NoTODS,0.8671399112468937
19,FFD,0.8815163906677277
19,MILQ,0.8870337567639109
19,MTMC,0.8774099287949629
19,NoTODS,0.8689171804512072
20,FFD,0.8755817433219559
20,MTMC,0.8792430686110142
20,NoTODS,0.870609750757827
