num_circuit,dataset,average_utilization
2,FFD,0.9858736059479554
2,MILQ,0.885613644790508
2,MTMC,0.9812260536398467
2,NoTODS,0.7172413793103448
3,FFD,0.9367741935483871
3,MILQ,0.8784842232398973
3,MTMC,0.9367741935483871
3,NoTODS,0.7172413793103448
4,FFD,0.9807482362719456
4,MILQ,0.6779840869099539
4,MTMC,0.9812260536398467
4,NoTODS,0.7172413793103448
5,FFD,0.9570928196147112
5,MILQ,0.7029482059497202
5,MTMC,0.9570928196147112
5,NoTODS,0.7172413793103448
6,FFD,0.9806607185353083
6,MILQ,0.09582526665247776
6,MTMC,0.9742556917688265
6,NoTODS,0.7172413793103448
7,FFD,0.968407462935199
7,MILQ,0.2707116575229046
7,MTMC,0.9693757417895348
7,NoTODS,0.7172413793103448
8,FFD,0.9814450491911912
8,MILQ,0.9625402726146219
8,MTMC,0.9809532670850505
8,NoTODS,0.7172413793103448
9,FFD,0.9682119726010365
9,MILQ,0.9336596672845572
9,MTMC,0.9679416445623342
9,NoTODS,0.7172413793103448
10,FFD,0.9813917755272161
10,MILQ,0.9581280064136826
10,MTMC,0.9782542079672712
10,NoTODS,0.7172413793103448
11,FFD,0.9714182396891055
11,MILQ,0.9534058490753008
11,MTMC,0.9721762549409139
11,NoTODS,0.7172413793103448
12,FFD,0.9816536699671076
12,MILQ,0.9487522520554019
12,MTMC,0.9805391766035554
12,NoTODS,0.7172413793103448
13,FFD,0.9716738664815388
13,MILQ,0.958596809301198
13,MTMC,0.9719700458428594
13,NoTODS,0.7172413793103448
14,FFD,0.9811869955144541
14,MILQ,0.9414265758539393
14,MTMC,0.9793948381801869
14,NoTODS,0.7172413793103448
15,FFD,0.9727565650187572
15,MILQ,0.9464984734307427
15,MTMC,0.9744617903877242
15,NoTODS,0.7172413793103448
16,FFD,0.9811108501030983
16,MILQ,0.9524353166213633
16,MTMC,0.9802466979395075
16,NoTODS,0.7172413793103448
17,FFD,0.9740708644332979
17,MILQ,0.9500303119979053
17,MTMC,0.9732280845800876
17,NoTODS,0.7172413793103448
18,FFD,0.980714146521847
18,MILQ,0.9526864007926678
18,MTMC,0.9794917242146346
18,NoTODS,0.7172413793103448
19,FFD,0.9749761464135924
19,MILQ,0.9517152618388647
19,MTMC,0.9764880735549113
19,NoTODS,0.7172413793103448
20,FFD,0.9818130720540612
20,MTMC,0.9808207368795117
20,NoTODS,0.7172413793103448
