num_circuit,dataset,makespan
2,FFD,25824.0
2,MILQ,18848.0
2,MTMC,22176.0
2,NoTODS,18560.0
3,FFD,37376.0
3,MILQ,41024.0
3,MTMC,37376.0
3,NoTODS,27840.0
4,FFD,41024.0
4,MILQ,75120.249951
4,MTMC,37376.0
4,NoTODS,37120.0
5,FFD,59552.0
5,MILQ,51163.0
5,MTMC,52576.0
5,NoTODS,46400.0
6,FFD,59872.0
6,MILQ,4180496506784.0
6,MTMC,74752.0
6,NoTODS,55680.0
7,FFD,85376.0
7,MILQ,206567.63
7,MTMC,92352.0
7,NoTODS,64960.0
8,FFD,89024.0
8,MILQ,53760.0
8,MTMC,85376.0
8,NoTODS,74240.0
9,FFD,100576.0
9,MILQ,77472.0
9,MTMC,93600.0
9,NoTODS,83520.0
10,FFD,107872.0
10,MILQ,59872.0
10,MTMC,122752.0
10,NoTODS,92800.0
11,FFD,112448.0
11,MILQ,70496.22695735999
11,MTMC,119424.0
11,NoTODS,102080.0
12,FFD,137024.0
12,MILQ,70816.0
12,MTMC,119424.0
12,NoTODS,111360.0
13,FFD,127648.0
13,MILQ,148896.0
13,MTMC,134624.0
13,NoTODS,120640.0
14,FFD,148896.0
14,MILQ,123393.0
14,MTMC,163776.0
14,NoTODS,129920.0
15,FFD,139520.0
15,MILQ,115170.86719789999
15,MTMC,160448.0
15,NoTODS,139200.0
16,FFD,171072.0
16,MILQ,96320.0
16,MTMC,153472.0
16,NoTODS,148480.0
17,FFD,175648.0
17,MILQ,99166.7142857
17,MTMC,154720.0
17,NoTODS,157760.0
18,FFD,182944.0
18,MILQ,126720.0
18,MTMC,190848.0
18,NoTODS,167040.0
19,FFD,187520.0
19,MILQ,188352.0
19,MTMC,215424.0
19,NoTODS,176320.0
20,FFD,233024.0
20,MTMC,208448.0
20,NoTODS,185600.0
