num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,3545.6
2,MILQ,3545.6
2,MTMC,3545.6
2,NoTODS,82.0
3,FFD,8908.8
3,MILQ,11520.0
3,MTMC,8908.8
3,NoTODS,1943.4
4,FFD,24390.4
4,MILQ,14240.0
4,MTMC,25785.6
4,NoTODS,4465.0
5,FFD,22406.4
5,MILQ,16928.138043292
5,MTMC,26592.0
5,NoTODS,9984.3
6,FFD,18019.2
6,MILQ,382603.63529999997
6,MTMC,15452.8
6,NoTODS,20640.0
7,FFD,22838.4
7,MILQ,20834.793719999998
7,MTMC,16448.0
7,NoTODS,25920.0
8,FFD,31091.2
8,MILQ,23173.8001712
8,MTMC,27299.2
8,NoTODS,30320.0
9,FFD,35753.6
9,MILQ,32463.1662502
9,MTMC,36096.0
9,NoTODS,33292.8
10,FFD,40889.6
10,MILQ,-72898.6363391
10,MTMC,35308.8
10,NoTODS,115689.6
