num_qubits_each_circuit,dataset,makespan
2,FFD,7296.0
2,MILQ,7296.0
2,MTMC,7296.0
2,NoTODS,164.0
3,FFD,16512.0
3,MILQ,19200.0
3,MTMC,16512.0
3,NoTODS,4224.0
4,FFD,52576.0
4,MILQ,22400.0
4,MTMC,59552.0
4,NoTODS,7842.0
5,FFD,45600.0
5,MILQ,27776.0
5,MTMC,59552.0
5,NoTODS,18400.0
6,FFD,45600.0
6,MILQ,1717945.6
6,MTMC,66528.0
6,NoTODS,37600.0
7,FFD,59552.0
7,MILQ,51163.0
7,MTMC,52576.0
7,NoTODS,46400.0
8,FFD,63584.0
8,MILQ,39576.000214
8,MTMC,70560.0
8,NoTODS,55200.0
9,FFD,89952.0
9,MILQ,81741.00051
9,MTMC,89952.0
9,NoTODS,82976.0
10,FFD,96928.0
10,MILQ,52592.312203
10,MTMC,89952.0
10,NoTODS,207808.0
