num_qubits_each_circuit,dataset,average_throughput
2,FFD,1459.2
2,MILQ,1459.2
2,MTMC,1459.2
2,NoTODS,16.4
3,FFD,3302.4
3,MILQ,3840.0
3,MTMC,3302.4
3,NoTODS,422.4
4,FFD,10515.2
4,MILQ,4480.0
4,MTMC,11910.4
4,NoTODS,784.2
5,FFD,9120.0
5,MILQ,5555.2
5,MTMC,11910.4
5,NoTODS,1840.0
6,FFD,4560.0
6,MILQ,171794.56
6,MTMC,6652.8
6,NoTODS,3760.0
7,FFD,5955.2
7,MILQ,5116.3
7,MTMC,5257.6
7,NoTODS,4640.0
8,FFD,6358.4
8,MILQ,3957.6000214
8,MTMC,7056.0
8,NoTODS,5520.0
9,FFD,8995.2
9,MILQ,8174.100050999999
9,MTMC,8995.2
9,NoTODS,8297.6
10,FFD,9692.8
10,MILQ,5259.2312203
10,MTMC,8995.2
10,NoTODS,20780.8
