num_qubits_each_circuit,dataset,average_throughput
2,FFD,960.0
2,MILQ,960.0
2,MTMC,960.0
2,NoTODS,16.92105263157895
3,FFD,2896.842105263158
3,MILQ,2607.157894736842
3,MTMC,2896.842105263158
3,NoTODS,370.5263157894737
4,FFD,9101.473684210527
4,MILQ,535133061.8947368
4,MTMC,11304.421052631578
4,NoTODS,763.0
5,FFD,10570.105263157895
5,MILQ,151677356.63157895
5,MTMC,9835.78947368421
5,NoTODS,1840.0
6,FFD,5101.473684210527
6,MILQ,6281.263157894737
6,MTMC,4926.315789473684
6,NoTODS,3760.0
7,FFD,4934.736842105263
7,MILQ,4956.631578947368
7,MTMC,5669.0526315789475
7,NoTODS,4640.0
8,FFD,6037.894736842105
8,MILQ,87929.95
8,MTMC,6772.210526315789
8,NoTODS,5520.0
9,FFD,9068.631578947368
9,MILQ,8085.0526315789475
9,MTMC,8701.473684210527
9,NoTODS,9068.631578947368
10,FFD,9068.631578947368
10,MILQ,8852.895309026317
10,MTMC,9435.78947368421
10,NoTODS,19055.157894736843
