num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.006412982940673828
2,MILQ,2.254748821258545
2,MTMC,0.012446403503417969
2,NoTODS,1.2652840614318848
3,FFD,0.008006811141967773
3,MILQ,1.9468028545379639
3,MTMC,0.015909433364868164
3,NoTODS,1.2683498859405518
4,FFD,0.009757280349731445
4,MILQ,2.067488431930542
4,MTMC,0.018978118896484375
4,NoTODS,1.2672312259674072
5,FFD,0.011684656143188477
5,MILQ,2.820406675338745
5,MTMC,0.01967597007751465
5,NoTODS,1.2638108730316162
6,FFD,0.027324914932250977
6,MILQ,21.10175061225891
6,MTMC,0.031183242797851562
6,NoTODS,1.2494227886199951
7,FFD,0.026309728622436523
7,MILQ,24.446815729141235
7,MTMC,0.03868412971496582
7,NoTODS,1.247450828552246
8,FFD,0.030775070190429688
8,MILQ,12.865408182144165
8,MTMC,0.048244476318359375
8,NoTODS,1.2549076080322266
9,FFD,0.03467226028442383
9,MILQ,17.600177526474
9,MTMC,0.053829193115234375
9,NoTODS,1.2515435218811035
10,FFD,0.03664040565490723
10,MILQ,40.87934398651123
10,MTMC,0.057396888732910156
10,NoTODS,1.2201192378997803
