num_qubits_each_circuit,dataset,average_utilization
2,FFD,0.76
2,MILQ,0.76
2,MTMC,0.76
2,NoTODS,0.47278382581648526
3,FFD,0.6
3,MILQ,0.6
3,MTMC,0.6
3,NoTODS,0.8031818181818181
4,FFD,0.8
4,MILQ,1.9749657105348165e-05
4,MTMC,0.8
4,NoTODS,0.7800786369593709
5,FFD,1.0
5,MILQ,4.7119478041108144e-05
5,MTMC,1.0
5,NoTODS,0.7704347826086957
6,FFD,0.9997406639004149
6,MILQ,0.9954205588296204
6,MTMC,0.9999145299145299
6,NoTODS,0.6
7,FFD,0.9749761464135924
7,MILQ,0.9517152618388647
7,MTMC,0.9764880735549113
7,NoTODS,0.7172413793103448
8,FFD,0.879600006461931
8,MILQ,0.044769566505099084
8,MTMC,0.8842820366819371
8,NoTODS,0.8
9,FFD,0.906389383576301
9,MILQ,0.9035198593401461
9,MTMC,0.9065678567983577
9,NoTODS,0.9
10,FFD,1.0
10,MILQ,0.9998665661639198
10,MTMC,1.0
10,NoTODS,1.0
