num_qubits_each_circuit,dataset,makespan
2,FFD,18240.0
2,MILQ,18240.0
2,MTMC,18240.0
2,NoTODS,643.0
3,FFD,55040.0
3,MILQ,49536.0
3,MTMC,55040.0
3,NoTODS,14080.0
4,FFD,172928.0
4,MILQ,10167528176.0
4,MTMC,214784.0
4,NoTODS,28994.0
5,FFD,200832.0
5,MILQ,2881869776.0
5,MTMC,186880.0
5,NoTODS,69920.0
6,FFD,193856.0
6,MILQ,238688.0
6,MTMC,187200.0
6,NoTODS,142880.0
7,FFD,187520.0
7,MILQ,188352.0
7,MTMC,215424.0
7,NoTODS,176320.0
8,FFD,229440.0
8,MILQ,3341338.1
8,MTMC,257344.0
8,NoTODS,209760.0
9,FFD,344608.0
9,MILQ,307232.0
9,MTMC,330656.0
9,NoTODS,344608.0
10,FFD,344608.0
10,MILQ,336410.021743
10,MTMC,358560.0
10,NoTODS,724096.0
