num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,7823.1578947368425
2,MILQ,7823.1578947368425
2,MTMC,7823.1578947368425
2,NoTODS,199.1315789473684
3,FFD,25027.36842105263
3,MILQ,24151.57894736842
3,MTMC,25027.36842105263
3,NoTODS,6825.236842105263
4,FFD,61669.05263157895
4,MILQ,1387931209.805263
4,MTMC,74152.42105263157
4,NoTODS,14859.947368421053
5,FFD,72929.68421052632
5,MILQ,2223450940.338421
5,MTMC,70726.73684210527
5,NoTODS,35744.07894736842
6,FFD,67731.36842105263
6,MILQ,83390.31578947368
6,MTMC,64522.10526315789
6,NoTODS,73280.0
7,FFD,88110.31578947368
7,MILQ,60386.52631578947
7,MTMC,74197.8947368421
7,NoTODS,90880.0
8,FFD,106660.21052631579
8,MILQ,1008251.4543947369
8,MTMC,94996.21052631579
8,NoTODS,107600.0
9,FFD,124544.84210526316
9,MILQ,108540.63157894737
9,MTMC,118920.42105263157
9,NoTODS,113546.1052631579
10,FFD,126140.63157894737
10,MILQ,124036.96911142104
10,MTMC,131097.26315789475
10,NoTODS,372952.4210526316
